country,continent,pop 1970,pop1980,pop 1990,pop2000,pop2010,pop2023,pop2024
Solomon Islands,Oceania,172833,233668,324171,429978,540394,740424,756673
Somalia,Africa,3720977,5892224,6999096,8721465,12026649,18143378,18706922
South Africa,Africa,22368306,29463549,39877570,46813266,51784921,60414495,61020221
South Korea,Asia,32601143,38170501,44120039,46788591,48813042,51784059,51741963
South Sudan,Africa,3342410,4192012,4750817,6114440,9714419,11088796,11277092
Spain,Europe,33792617,37491666,38889889,40741651,46572772,47519628,47473373
Sri Lanka,Asia,12388769,14943645,17204094,18776371,20668557,21893579,21949268
Sudan,Africa,11305206,16673586,21090886,26298773,33739933,48109006,49358228
Suriname,South America,379918,375112,412756,478998,546080,623236,628785
Sweden,Europe,8027702,8311763,8548406,8871043,9381729,10612086,10673669
Switzerland,Europe,6181227,6319113,6711693,7182059,7822435,8796669,8851431
Syria,Asia,6319199,8898954,12408996,16307654,22337563,23227014,24348053
Taiwan,Asia,14957870,18100281,20586174,22194731,23083083,23923276,23950214
Tajikistan,Asia,2993019,4045965,5417860,6272998,7621779,10143543,10331513
Tanzania,Africa,13618192,19297659,26206012,34463704,45110527,67438106,69419073
Thailand,Asia,35791728,45737753,55228410,63066603,68270489,71801279,71885799
Timor-Leste,Asia,554021,642224,758106,878360,1088486,1360596,1379883
Togo,Africa,2197383,2838110,3875947,5008035,6571855,9053799,9260864
Tokelau,Oceania,1714,1647,1669,1666,1367,1893,1915
Tonga,Oceania,86484,96708,98727,102603,107383,107773,108683
Trinidad and Tobago,North America,988890,1127852,1266518,1332203,1410296,1534937,1538200
Tunisia,Africa,5047404,6578156,8440023,9893316,10895063,12458223,12564689
Turkey,Asia,35540990,44089069,54324142,64113547,73195345,85816199,86260417
Turkmenistan,Asia,2201432,2862903,3720278,4569132,5267970,6516100,6598071
Turks and Caicos Islands,North America,5665,7598,11709,18744,29726,46062,46431
Tuvalu,Oceania,5814,7731,9182,9638,10550,11396,11478
Uganda,Africa,10317212,13284026,17586630,24020697,32341728,48582334,49924252
Ukraine,Europe,47279086,49973920,51589817,48879755,45683020,36744634,37937821
United Arab Emirates,Asia,298084,1014048,1900151,3275333,8481771,9516871,9591853
United Kingdom,Europe,55650166,56326328,57210442,58850043,62760039,67736802,67961439
United States,North America,200328340,223140018,248083732,282398554,311182845,339996563,341814420
United States Virgin Islands,North America,63446,96640,100685,108185,106142,98750,98055
Uruguay,South America,2790265,2953750,3117012,3292224,3352651,3423108,3423316
Uzbekistan,Asia,12011361,15947129,20579100,24925554,28614227,35163944,35673804
Vanuatu,Oceania,87019,118156,150882,192074,245453,334506,342325
Vatican City,Europe,752,733,700,651,596,764,764
Venezuela,South America,11355475,15210443,19750579,24427729,28715022,28838499,29395334
Vietnam,Asia,41928849,52968270,66912613,79001142,87411012,98858950,99497680
Wallis and Futuna,Oceania,9377,11315,13454,14723,13142,11502,11439
Western Sahara,Africa,76371,116775,178529,270375,413296,587259,598385
Yemen,Asia,6843607,9204938,13375121,18628700,24743946,34449825,35219853
Zambia,Africa,4281671,5720438,7686401,9891136,13792086,20569737,21134695
Zimbabwe,Africa,5202918,7049926,10113893,11834676,12839771,16665409,17020321
